TxSeq,StratTime,EndTime,TimeUse
5298206,2025-03-02T20:47:15.677624Z,2025-03-02T20:47:15.677633Z,9
5298207,2025-03-02T20:47:15.677636Z,2025-03-02T20:47:15.677638Z,2
5298208,2025-03-02T20:47:15.677638Z,2025-03-02T20:47:15.677639Z,1
5298209,2025-03-02T20:47:15.677623Z,2025-03-02T20:47:15.677632Z,9
5298210,2025-03-02T20:47:21.914451Z,2025-03-02T20:47:21.914458Z,7
5298211,2025-03-02T20:47:21.914455Z,2025-03-02T20:47:21.914459Z,4
5298212,2025-03-02T20:47:21.914448Z,2025-03-02T20:47:21.914456Z,8
5298213,2025-03-02T20:47:33.921059Z,2025-03-02T20:47:33.921072Z,13
5298214,2025-03-02T20:47:33.921057Z,2025-03-02T20:47:33.921070Z,13
5298215,2025-03-02T20:47:39.568088Z,2025-03-02T20:47:39.568095Z,7
5298216,2025-03-02T20:47:39.568099Z,2025-03-02T20:47:39.568104Z,5
5298217,2025-03-02T20:47:39.568100Z,2025-03-02T20:47:39.568102Z,2
5298218,2025-03-02T20:47:39.568090Z,2025-03-02T20:47:39.568096Z,6
5298219,2025-03-02T20:47:45.819025Z,2025-03-02T20:47:45.819036Z,11
5298220,2025-03-02T20:47:45.819042Z,2025-03-02T20:47:45.819046Z,4
5298221,2025-03-02T20:47:45.819040Z,2025-03-02T20:47:45.819043Z,3
5298222,2025-03-02T20:47:45.819025Z,2025-03-02T20:47:45.819039Z,14
5298223,2025-03-02T20:47:52.110861Z,2025-03-02T20:47:52.110862Z,1
5298224,2025-03-02T20:47:52.110865Z,2025-03-02T20:47:52.110866Z,1
5298225,2025-03-02T20:47:52.110845Z,2025-03-02T20:47:52.110855Z,10
5298226,2025-03-02T20:47:52.110856Z,2025-03-02T20:47:52.110863Z,7
5298227,2025-03-02T20:47:52.110861Z,2025-03-02T20:47:52.110863Z,2
5298228,2025-03-02T20:47:52.110850Z,2025-03-02T20:47:52.110857Z,7
5298229,2025-03-02T20:47:52.110863Z,2025-03-02T20:47:52.110864Z,1
5298230,2025-03-02T20:47:52.110870Z,2025-03-02T20:47:52.110875Z,5
5298231,2025-03-02T20:47:52.110866Z,2025-03-02T20:47:52.110867Z,1
5298232,2025-03-02T20:47:52.110843Z,2025-03-02T20:47:52.110859Z,16
5298233,2025-03-02T20:47:57.696851Z,2025-03-02T20:47:57.696857Z,6
5298234,2025-03-02T20:47:57.696858Z,2025-03-02T20:47:57.696859Z,1
5298235,2025-03-02T20:47:57.696863Z,2025-03-02T20:47:57.696869Z,6
5298236,2025-03-02T20:47:57.696846Z,2025-03-02T20:47:57.696854Z,8
5298237,2025-03-02T20:48:03.964721Z,2025-03-02T20:48:03.964727Z,6
5298238,2025-03-02T20:48:03.964710Z,2025-03-02T20:48:03.964715Z,5
5298239,2025-03-02T20:48:03.964717Z,2025-03-02T20:48:03.964719Z,2
5298240,2025-03-02T20:48:03.964705Z,2025-03-02T20:48:03.964712Z,7
5298241,2025-03-02T20:48:09.560522Z,2025-03-02T20:48:09.560528Z,6
5298242,2025-03-02T20:48:09.560518Z,2025-03-02T20:48:09.560529Z,11
5298243,2025-03-02T20:48:15.784801Z,2025-03-02T20:48:15.784810Z,9
