TxSeq,StratTime,EndTime,TimeUse(us)
1459240,2025-03-02T00:27:17.982268Z,2025-03-02T00:27:17.982272Z,4
1459241,2025-03-02T00:27:17.981996Z,2025-03-02T00:27:17.982020Z,24
1459242,2025-03-02T00:27:42.183118Z,2025-03-02T00:27:42.183145Z,27
1459243,2025-03-02T00:27:48.025558Z,2025-03-02T00:27:48.025584Z,26
1459244,2025-03-02T00:28:06.134186Z,2025-03-02T00:28:06.134193Z,7
1459245,2025-03-02T00:28:06.134203Z,2025-03-02T00:28:06.134208Z,5
1459246,2025-03-02T00:28:06.134216Z,2025-03-02T00:28:06.134221Z,5
1459247,2025-03-02T00:28:06.134137Z,2025-03-02T00:28:06.134167Z,30
1459248,2025-03-02T00:28:18.230823Z,2025-03-02T00:28:18.230830Z,7
1459249,2025-03-02T00:28:18.230839Z,2025-03-02T00:28:18.230844Z,5
1459250,2025-03-02T00:28:18.230856Z,2025-03-02T00:28:18.230861Z,5
1459251,2025-03-02T00:28:18.230779Z,2025-03-02T00:28:18.230804Z,25
1459252,2025-03-02T00:28:23.975904Z,2025-03-02T00:28:23.975933Z,29
1459253,2025-03-02T00:28:30.381497Z,2025-03-02T00:28:30.381504Z,7
1459254,2025-03-02T00:28:30.381514Z,2025-03-02T00:28:30.381519Z,5
1459255,2025-03-02T00:28:30.381527Z,2025-03-02T00:28:30.381531Z,4
1459256,2025-03-02T00:28:30.381451Z,2025-03-02T00:28:30.381479Z,28
1459257,2025-03-02T00:28:35.842518Z,2025-03-02T00:28:35.842539Z,21
1459258,2025-03-02T00:28:41.878899Z,2025-03-02T00:28:41.878919Z,20
1459259,2025-03-02T00:28:47.831815Z,2025-03-02T00:28:47.831822Z,7
1459260,2025-03-02T00:28:47.831832Z,2025-03-02T00:28:47.831838Z,6
1459261,2025-03-02T00:28:47.831770Z,2025-03-02T00:28:47.831796Z,26
1459262,2025-03-02T00:28:54.247698Z,2025-03-02T00:28:54.247719Z,21
