TxSeq,StratTime,EndTime,TimeUse(sec)
1459793,2025-03-02T00:59:52.964743Z,2025-03-02T00:59:59.757497Z,6
1459805,2025-03-02T01:00:46.098746Z,2025-03-02T01:00:49.455777Z,3
1459811,2025-03-02T01:01:05.167971Z,2025-03-02T01:01:09.226242Z,4
1459812,2025-03-02T01:01:05.529743Z,2025-03-02T01:01:09.312173Z,3
1459813,2025-03-02T01:01:09.303219Z,2025-03-02T01:01:12.666547Z,3
1459814,2025-03-02T01:01:09.268947Z,2025-03-02T01:01:12.586859Z,3
1459815,2025-03-02T01:01:22.271046Z,2025-03-02T01:01:25.737101Z,3
1459820,2025-03-02T01:01:39.743744Z,2025-03-02T01:01:43.428163Z,3
1459822,2025-03-02T01:01:45.909972Z,2025-03-02T01:01:49.255184Z,3
1459834,2025-03-02T01:02:38.342146Z,2025-03-02T01:02:41.512720Z,3
1459843,2025-03-02T01:03:20.545514Z,2025-03-02T01:03:26.828878Z,6
1459844,2025-03-02T01:03:26.842661Z,2025-03-02T01:03:29.940694Z,3
1459847,2025-03-02T01:03:26.846842Z,2025-03-02T21:19:57.713007Z,72990
1459849,2025-03-02T01:03:33.604599Z,2025-03-02T09:14:46.827474Z,29473
1459854,2025-03-02T01:03:48.761440Z,2025-03-02T01:03:48.877761Z,0
1459859,2025-03-02T01:04:01.534243Z,2025-03-02T01:04:04.646583Z,3
1459862,2025-03-02T01:04:19.042155Z,2025-03-02T01:04:25.400244Z,6
1459863,2025-03-02T01:04:25.408463Z,2025-03-02T01:04:28.501705Z,3
1459867,2025-03-02T01:04:34.785872Z,2025-03-02T01:04:37.829961Z,3
1459869,2025-03-02T01:04:31.728814Z,2025-03-02T01:04:37.849267Z,6
1459870,2025-03-02T01:04:45.719456Z,2025-03-02T01:04:48.780608Z,3
1459872,2025-03-02T01:05:02.156486Z,2025-03-02T01:05:08.283109Z,6
1459881,2025-03-02T01:05:35.673946Z,2025-03-02T01:05:42.241908Z,6
1459885,2025-03-02T01:05:52.646550Z,2025-03-02T01:05:55.768748Z,3
1459889,2025-03-02T01:06:15.557347Z,2025-03-02T19:05:48.782824Z,64773
1459892,2025-03-02T01:06:28.153999Z,2025-03-02T01:39:04.243403Z,1956
1459893,2025-03-02T01:06:34.378247Z,2025-03-02T13:17:47.152908Z,43872
1459896,2025-03-02T01:06:40.671790Z,2025-03-02T01:06:43.746516Z,3
1459897,2025-03-02T01:06:50.815813Z,2025-03-02T01:06:53.928776Z,3
1459898,2025-03-02T01:07:03.445955Z,2025-03-02T01:07:09.494992Z,6
1459899,2025-03-02T01:07:03.370885Z,2025-03-02T01:07:06.479534Z,3
1459901,2025-03-02T01:07:15.890362Z,2025-03-02T01:07:22.088582Z,6
1459918,2025-03-02T01:08:10.054556Z,2025-03-02T01:08:13.135745Z,3
1459921,2025-03-02T01:08:42.897924Z,2025-03-02T01:08:46.177489Z,3
1459932,2025-03-02T01:09:13.220849Z,2025-03-02T10:31:07.452277Z,33714
1459940,2025-03-02T01:09:54.060467Z,2025-03-02T01:09:57.141758Z,3
1459947,2025-03-02T01:10:17.160939Z,2025-03-02T01:10:20.177080Z,3
1459970,2025-03-02T01:11:15.139668Z,2025-03-02T01:11:18.171942Z,3
1459980,2025-03-02T01:12:03.721914Z,2025-03-02T01:12:06.741516Z,3
1459986,2025-03-02T01:12:17.310451Z,2025-03-02T01:12:23.614595Z,6
1459990,2025-03-02T01:12:26.648421Z,2025-03-02T01:12:29.735511Z,3
1459992,2025-03-02T01:12:42.675135Z,2025-03-02T01:12:45.932300Z,3
1459999,2025-03-02T01:12:54.180324Z,2025-03-02T01:13:00.685741Z,6
1460000,2025-03-02T01:13:15.477301Z,2025-03-02T01:13:18.811696Z,3
1460001,2025-03-02T01:13:33.508757Z,2025-03-02T01:13:36.635126Z,3
1460009,2025-03-02T01:13:44.468269Z,2025-03-02T01:13:45.193216Z,0
1460010,2025-03-02T01:13:44.421893Z,2025-03-02T01:13:48.821602Z,4
1460135,2025-03-02T01:15:18.837929Z,2025-03-02T21:44:31.772585Z,73752
1460141,2025-03-02T01:15:41.709287Z,2025-03-02T01:15:45.342626Z,3
