Timestamp,ScratchPad(us),ScratchPadRate,Loading(us),LoadingRate,PadMix(us),PadMixRate,Hit(us),HitRate
2025-03-02T18:04:23.466329Z,15529485,17.38,15529485,17.38,927088118,1048.19,179,0.00
2025-03-02T18:04:28.495646Z,15529617,26.25,15529617,26.25,927096106,1588.29,179,0.00
2025-03-02T18:04:33.496344Z,15529740,24.60,15529740,24.60,927103274,1433.40,179,0.00
2025-03-02T18:04:38.755601Z,15529811,13.50,15529811,13.50,927107690,839.66,179,0.00
2025-03-02T18:04:43.785469Z,15529875,12.72,15529875,12.72,927111527,762.84,179,0.00
2025-03-02T18:04:49.007628Z,15529950,14.36,15529950,14.36,927115995,855.58,179,0.00
2025-03-02T18:04:54.037799Z,15530057,21.27,15530057,21.27,927122181,1229.78,179,0.00
2025-03-02T18:04:59.044072Z,15530164,21.37,15530164,21.37,927128345,1231.26,179,0.00
2025-03-02T18:05:04.044697Z,15530337,34.60,15530337,34.60,927139014,2133.53,179,0.00
2025-03-02T18:05:09.068058Z,15530473,27.07,15530473,27.07,927146948,1579.42,179,0.00
2025-03-02T18:05:14.070496Z,15530533,11.99,15530533,11.99,927150581,726.25,179,0.00
2025-03-02T18:05:19.139378Z,15530681,29.20,15530681,29.20,927159684,1795.86,179,0.00
2025-03-02T18:05:24.149987Z,15530769,17.56,15530769,17.56,927164740,1009.06,179,0.00
2025-03-02T18:05:29.174445Z,15530924,30.85,15530924,30.85,927174099,1862.69,179,0.00
2025-03-02T18:05:34.282637Z,15531066,27.80,15531066,27.80,927182467,1638.15,179,0.00
2025-03-02T18:05:39.310539Z,15531209,28.44,15531209,28.44,927191067,1710.45,179,0.00
2025-03-02T18:05:44.567844Z,15531284,14.27,15531284,14.27,927195477,838.83,179,0.00
2025-03-02T18:05:49.597837Z,15531346,12.33,15531346,12.33,927199241,748.31,179,0.00
2025-03-02T18:05:54.611021Z,15531498,30.32,15531498,30.32,927208277,1802.45,179,0.00
2025-03-02T18:05:59.631472Z,15531649,30.08,15531649,30.08,927217329,1803.03,179,0.00
2025-03-02T18:06:04.632980Z,15531827,35.59,15531827,35.59,927227835,2100.57,179,0.00
2025-03-02T18:06:09.636626Z,15532017,37.97,15532017,37.97,927238759,2183.21,179,0.00
2025-03-02T18:06:14.638666Z,15532163,29.19,15532163,29.19,927247645,1776.48,179,0.00
2025-03-02T18:06:19.658490Z,15532225,12.35,15532225,12.35,927251421,752.22,179,0.00
2025-03-02T18:06:24.659816Z,15532334,21.79,15532334,21.79,927257712,1257.87,179,0.00
2025-03-02T18:06:29.674189Z,15532441,21.34,15532441,21.34,927264048,1263.57,179,0.00
2025-03-02T18:06:34.675607Z,15532546,20.99,15532546,20.99,927270308,1251.65,179,0.00
2025-03-02T18:06:39.728809Z,15532643,19.20,15532643,19.20,927276260,1177.87,179,0.00
2025-03-02T18:06:44.744930Z,15532719,15.15,15532719,15.15,927280653,875.78,179,0.00
2025-03-02T18:06:50.555423Z,15532809,15.49,15532809,15.49,927285953,912.14,179,0.00
2025-03-02T18:06:55.575472Z,15532887,15.54,15532887,15.54,927290613,928.28,179,0.00
2025-03-02T18:07:00.912471Z,15532956,12.93,15532956,12.93,927294773,779.46,179,0.00
2025-03-02T18:07:05.986165Z,15533089,26.21,15533089,26.21,927302581,1538.92,179,0.00
2025-03-02T18:07:11.096763Z,15533203,22.31,15533203,22.31,927309423,1338.79,179,0.00
2025-03-02T18:07:16.435647Z,15533283,14.98,15533283,14.98,927314199,894.57,179,0.00
2025-03-02T18:07:21.660836Z,15533352,13.21,15533352,13.21,927318359,796.14,179,0.00
2025-03-02T18:07:26.727365Z,15533439,17.17,15533439,17.17,927323403,995.55,179,0.00
2025-03-02T18:07:31.733763Z,15533516,15.38,15533516,15.38,927328139,945.99,179,0.00
2025-03-02T18:07:36.736661Z,15533620,20.79,15533620,20.79,927334411,1253.67,179,0.00
2025-03-02T18:07:41.942457Z,15533694,14.21,15533694,14.21,927338571,799.11,179,0.00
2025-03-02T18:07:46.943420Z,15533747,10.60,15533747,10.60,927341963,678.27,179,0.00
2025-03-02T18:07:51.961950Z,15533821,14.75,15533821,14.75,927346495,903.05,179,0.00
2025-03-02T18:07:57.129591Z,15533900,15.29,15533900,15.29,927351475,963.69,179,0.00
2025-03-02T18:08:02.138125Z,15533985,16.97,15533985,16.97,927356609,1025.05,179,0.00
2025-03-02T18:08:07.168693Z,15534146,32.00,15534146,32.00,927366352,1936.76,179,0.00
2025-03-02T18:08:12.173350Z,15534294,29.57,15534294,29.57,927375018,1731.59,179,0.00
2025-03-02T18:08:17.176945Z,15534394,19.99,15534394,19.99,927381098,1215.13,179,0.00
2025-03-02T18:08:22.236296Z,15534492,19.37,15534492,19.37,927386846,1136.11,179,0.00
2025-03-02T18:08:27.262574Z,15534608,23.08,15534608,23.08,927394014,1426.10,179,0.00
2025-03-02T18:08:32.273025Z,15534719,22.15,15534719,22.15,927400750,1344.39,179,0.00
2025-03-02T18:08:37.322728Z,15534784,12.87,15534784,12.87,927404704,783.02,179,0.00
2025-03-02T18:08:42.460728Z,15534848,12.46,15534848,12.46,927408416,722.46,179,0.00
2025-03-02T18:08:47.471996Z,15534912,12.77,15534912,12.77,927412372,789.42,179,0.00
2025-03-02T18:08:52.674569Z,15534978,12.69,15534978,12.69,927416392,772.69,179,0.00
2025-03-02T18:08:57.779159Z,15535088,21.55,15535088,21.55,927422762,1247.90,179,0.00
2025-03-02T18:09:02.781482Z,15535194,21.19,15535194,21.19,927428970,1241.02,179,0.00
2025-03-02T18:09:07.789337Z,15535371,35.34,15535371,35.34,927438942,1991.27,179,0.00
2025-03-02T18:09:12.805631Z,15535562,38.08,15535562,38.08,927449449,2094.57,179,0.00
2025-03-02T18:09:17.993933Z,15535665,19.85,15535665,19.85,927455529,1171.87,179,0.00
2025-03-02T18:09:23.082374Z,15535771,20.83,15535771,20.83,927461675,1207.84,179,0.00
2025-03-02T18:09:28.100274Z,15535867,19.13,15535867,19.13,927467610,1182.77,179,0.00
2025-03-02T18:09:33.114397Z,15535989,24.33,15535989,24.33,927474758,1425.57,179,0.00
2025-03-02T18:09:38.155673Z,15536076,17.26,15536076,17.26,927479642,968.80,179,0.00
2025-03-02T18:09:43.195326Z,15536146,13.89,15536146,13.89,927483925,849.86,179,0.00
2025-03-02T18:09:48.339088Z,15536208,12.05,15536208,12.05,927487587,711.93,179,0.00
2025-03-02T18:09:53.512410Z,15536276,13.14,15536276,13.14,927491683,791.75,179,0.00
2025-03-02T18:09:58.607994Z,15536353,15.11,15536353,15.11,927496295,905.10,179,0.00
2025-03-02T18:10:03.686431Z,15536448,18.71,15536448,18.71,927502224,1167.49,179,0.00
2025-03-02T18:10:08.738079Z,15536618,33.65,15536618,33.65,927512516,2037.35,179,0.00
2025-03-02T18:10:13.754290Z,15536713,18.94,15536713,18.94,927517874,1068.14,179,0.00
2025-03-02T18:10:18.788833Z,15536816,20.46,15536816,20.46,927523866,1190.18,179,0.00
2025-03-02T18:10:23.997995Z,15536899,15.93,15536899,15.93,927528556,900.34,179,0.00
2025-03-02T18:10:29.007019Z,15537001,20.36,15537001,20.36,927534700,1226.59,179,0.00
2025-03-02T18:10:34.033626Z,15537098,19.30,15537098,19.30,927540331,1120.24,179,0.00
2025-03-02T18:10:39.241876Z,15537174,14.59,15537174,14.59,927544633,826.00,179,0.00
2025-03-02T18:10:44.376897Z,15537241,13.05,15537241,13.05,927548537,760.27,179,0.00
2025-03-02T18:10:49.482677Z,15537326,16.65,15537326,16.65,927553457,963.61,179,0.00
2025-03-02T18:10:54.543837Z,15537421,18.77,15537421,18.77,927558757,1047.19,179,0.00
2025-03-02T18:10:59.582108Z,15537521,19.85,15537521,19.85,927564773,1194.06,179,0.00
2025-03-02T18:11:04.593621Z,15537663,28.33,15537663,28.33,927573049,1651.40,179,0.00
2025-03-02T18:11:09.613576Z,15537754,18.13,15537754,18.13,927578361,1058.18,179,0.00
2025-03-02T18:11:14.688967Z,15537816,12.22,15537816,12.22,927582201,756.59,179,0.00
2025-03-02T18:11:19.755801Z,15537880,12.63,15537880,12.63,927585849,719.98,179,0.00
2025-03-02T18:11:24.758447Z,15537957,15.39,15537957,15.39,927590507,931.11,179,0.00
2025-03-02T18:11:29.767807Z,15538088,26.15,15538088,26.15,927598218,1539.32,179,0.00
2025-03-02T18:11:34.917253Z,15538194,20.58,15538194,20.58,927604478,1215.66,179,0.00
2025-03-02T18:11:40.153203Z,15538266,13.75,15538266,13.75,927608600,787.25,179,0.00
2025-03-02T18:11:45.177568Z,15538340,14.73,15538340,14.73,927613078,891.26,179,0.00
2025-03-02T18:11:50.207845Z,15538424,16.70,15538424,16.70,927617814,941.50,179,0.00
2025-03-02T18:11:55.273780Z,15538490,13.03,15538490,13.03,927621590,745.37,179,0.00
2025-03-02T18:12:00.279997Z,15538603,22.57,15538603,22.57,927628246,1329.55,179,0.00
2025-03-02T18:12:05.292937Z,15538772,33.71,15538772,33.71,927638336,2012.79,179,0.00
2025-03-02T18:12:10.354690Z,15538914,28.05,15538914,28.05,927646618,1636.19,179,0.00
2025-03-02T18:12:15.379403Z,15539011,19.30,15539011,19.30,927652296,1130.01,179,0.00
2025-03-02T18:12:20.382062Z,15539154,28.58,15539154,28.58,927660761,1692.10,179,0.00
2025-03-02T18:12:25.382895Z,15539303,29.80,15539303,29.80,927669679,1783.30,179,0.00
2025-03-02T18:12:30.394726Z,15539417,22.75,15539417,22.75,927676359,1332.85,179,0.00
2025-03-02T18:12:35.411524Z,15539424,1.40,15539424,1.40,927676871,102.06,179,0.00
2025-03-02T18:12:40.452091Z,15539424,0.00,15539424,0.00,927676871,0.00,179,0.00
2025-03-02T18:12:45.455401Z,15539424,0.00,15539424,0.00,927676871,0.00,179,0.00
2025-03-02T18:12:50.456709Z,15539424,0.00,15539424,0.00,927676871,0.00,179,0.00
2025-03-02T18:12:55.457619Z,15539424,0.00,15539424,0.00,927676871,0.00,179,0.00
2025-03-02T18:13:00.458387Z,15539424,0.00,15539424,0.00,927676871,0.00,179,0.00
2025-03-02T18:13:05.470786Z,15539424,0.00,15539424,0.00,927676871,0.00,179,0.00
2025-03-02T18:13:10.484805Z,15539424,0.00,15539424,0.00,927676871,0.00,179,0.00
2025-03-02T18:13:15.485419Z,15539424,0.00,15539424,0.00,927676871,0.00,179,0.00
2025-03-02T18:13:20.496547Z,15539424,0.00,15539424,0.00,927676871,0.00,179,0.00
2025-03-02T18:13:25.526881Z,15539424,0.00,15539424,0.00,927676871,0.00,179,0.00
2025-03-02T18:13:30.533391Z,15539424,0.00,15539424,0.00,927676871,0.00,179,0.00
2025-03-02T18:13:35.534429Z,15539424,0.00,15539424,0.00,927676871,0.00,179,0.00
2025-03-02T18:13:40.595202Z,15539424,0.00,15539424,0.00,927676871,0.00,179,0.00
2025-03-02T18:13:45.652572Z,15539424,0.00,15539424,0.00,927676871,0.00,179,0.00
2025-03-02T18:13:50.653670Z,15539424,0.00,15539424,0.00,927676871,0.00,179,0.00
2025-03-02T18:13:55.888226Z,15539424,0.00,15539424,0.00,927676871,0.00,179,0.00
2025-03-02T18:14:00.891389Z,15539424,0.00,15539424,0.00,927676871,0.00,179,0.00
2025-03-02T18:14:05.897412Z,15539424,0.00,15539424,0.00,927676871,0.00,179,0.00
2025-03-02T18:14:10.898323Z,15539424,0.00,15539424,0.00,927676871,0.00,179,0.00
